Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9
0.769,0.153,0.083,0.008,0.811,0.781,0.816,0.775,0.495
0.454,0.131,0.051,0.052,0.504,0.372,0.791,0.767,0.148
0.122,0.012,0.085,0.169,0.128,0.153,0.773,0.642,0.051
0.799,0.020,0.021,0.003,0.850,0.807,0.899,0.792,0.463
0.909,0.002,0.187,0.276,0.966,0.966,0.951,0.979,0.568
0.116,0.146,0.017,0.022,0.103,0.204,0.674,0.748,0.044
0.450,0.050,0.705,0.255,0.441,0.392,0.884,0.776,0.339
0.956,0.003,0.098,0.982,0.994,0.995,0.839,0.892,0.813
0.836,0.014,0.018,0.019,0.921,0.966,0.932,0.877,0.500
0.960,0.035,0.303,0.692,0.988,0.991,0.700,0.804,0.882
0.305,0.055,0.860,0.610,0.288,0.160,0.833,0.889,0.208
0.737,0.034,0.008,0.004,0.824,0.869,0.817,0.676,0.270
0.580,0.193,0.028,0.034,0.587,0.475,0.401,0.303,0.218
0.597,0.008,0.706,0.517,0.635,0.497,0.871,0.852,0.415
0.038,0.009,0.004,0.002,0.038,0.038,0.929,0.941,0.009
0.053,0.023,0.348,0.019,0.044,0.046,0.965,0.905,0.021
0.954,0.008,0.015,0.096,0.991,0.996,0.897,0.827,0.812
0.200,0.062,0.898,0.762,0.182,0.124,0.837,0.883,0.128
0.602,0.113,0.072,0.014,0.610,0.525,0.701,0.661,0.269
0.229,0.039,0.874,0.810,0.219,0.175,0.787,0.825,0.180
0.922,0.020,0.040,0.606,0.980,0.994,0.685,0.662,0.776
0.711,0.014,0.590,0.561,0.798,0.846,0.885,0.889,0.526
0.808,0.006,0.058,0.111,0.899,0.956,0.852,0.796,0.529
0.273,0.055,0.007,0.001,0.242,0.156,0.768,0.585,0.063
0.215,0.016,0.948,0.896,0.251,0.149,0.902,0.926,0.162
0.054,0.088,0.076,0.072,0.051,0.022,0.766,0.791,0.027
0.801,0.701,0.010,0.005,0.807,0.808,0.601,0.860,0.288
0.618,0.301,0.008,0.002,0.638,0.617,0.500,0.412,0.289
0.618,0.301,0.008,0.002,0.638,0.617,0.500,0.412,0.289
0.805,0.077,0.019,0.018,0.860,0.917,0.609,0.474,0.504
0.098,0.108,0.012,0.014,0.086,0.150,0.601,0.534,0.039
0.252,0.011,0.142,0.255,0.315,0.356,0.864,0.754,0.095
0.027,0.070,0.310,0.623,0.016,0.018,0.626,0.539,0.023
0.008,0.315,0.011,0.000,0.004,0.005,0.778,0.900,0.004
0.618,0.046,0.064,0.029,0.670,0.842,0.867,0.907,0.266
0.607,0.822,0.056,0.070,0.657,0.356,0.299,0.898,0.507
0.165,0.133,0.761,0.361,0.146,0.067,0.886,0.927,0.107
0.267,0.014,0.016,0.014,0.337,0.455,0.886,0.755,0.131
0.964,0.212,0.008,0.003,0.976,0.975,0.613,0.682,0.784
0.433,0.005,0.207,0.063,0.534,0.362,0.962,0.932,0.181
0.612,0.215,0.004,0.001,0.586,0.625,0.470,0.276,0.204
0.432,0.002,0.020,0.020,0.658,0.826,0.955,0.891,0.181
0.653,0.029,0.746,0.697,0.745,0.702,0.783,0.814,0.549
0.335,0.005,0.700,0.994,0.492,0.646,0.873,0.720,0.223
0.131,0.929,0.684,0.778,0.064,0.162,0.648,0.885,0.131
0.667,0.006,0.273,0.190,0.759,0.613,0.832,0.807,0.310
0.018,0.509,0.031,0.012,0.012,0.019,0.578,0.903,0.008
0.165,0.053,0.896,0.715,0.154,0.056,0.862,0.904,0.100
0.226,0.008,0.607,0.775,0.204,0.400,0.759,0.749,0.155
0.781,0.115,0.498,0.359,0.824,0.736,0.667,0.742,0.624
0.088,0.013,0.910,0.708,0.096,0.069,0.926,0.934,0.070
0.537,0.055,0.734,0.748,0.570,0.648,0.753,0.745,0.364
0.130,0.012,0.884,0.753,0.121,0.048,0.925,0.971,0.064
0.415,0.008,0.982,0.963,0.557,0.481,0.936,0.948,0.376
0.159,0.022,0.799,0.827,0.142,0.123,0.761,0.851,0.122
0.009,0.988,0.014,0.001,0.004,0.004,0.138,0.690,0.008
0.779,0.010,0.709,0.782,0.874,0.893,0.861,0.869,0.642
0.134,0.031,0.822,0.835,0.118,0.059,0.780,0.855,0.086
0.208,0.011,0.440,0.668,0.248,0.140,0.813,0.840,0.122
0.940,0.028,0.644,0.873,0.977,0.982,0.642,0.716,0.871
0.296,0.023,0.938,0.861,0.331,0.284,0.872,0.866,0.311
0.015,0.349,0.239,0.097,0.009,0.011,0.725,0.940,0.016
0.379,0.061,0.339,0.110,0.400,0.352,0.916,0.862,0.187
0.676,0.793,0.011,0.006,0.673,0.687,0.274,0.755,0.195
0.027,0.482,0.005,0.000,0.015,0.013,0.729,0.638,0.010
0.072,0.779,0.005,0.000,0.049,0.034,0.400,0.361,0.034
0.072,0.779,0.005,0.000,0.049,0.034,0.400,0.361,0.034
0.505,0.011,0.556,0.676,0.656,0.734,0.876,0.903,0.360
0.792,0.039,0.576,0.849,0.862,0.912,0.748,0.769,0.496
0.654,0.102,0.829,0.551,0.661,0.604,0.716,0.788,0.586
0.985,0.005,0.035,0.044,0.997,0.998,0.917,0.894,0.934
0.952,0.007,0.057,0.191,0.990,0.996,0.899,0.870,0.828
0.952,0.007,0.057,0.191,0.990,0.996,0.899,0.870,0.828
0.226,0.046,0.908,0.565,0.205,0.138,0.936,0.892,0.167
0.832,0.011,0.668,0.654,0.921,0.935,0.914,0.943,0.744
0.990,0.041,0.129,0.020,0.996,0.993,0.836,0.934,0.956
0.080,0.048,0.194,0.376,0.070,0.030,0.636,0.626,0.033
0.080,0.048,0.194,0.376,0.070,0.030,0.636,0.626,0.033
0.534,0.016,0.736,0.698,0.600,0.732,0.908,0.841,0.299
0.499,0.065,0.028,0.073,0.555,0.584,0.424,0.278,0.204
0.602,0.054,0.083,0.037,0.649,0.595,0.709,0.562,0.299
0.644,0.178,0.019,0.020,0.701,0.758,0.511,0.388,0.355
0.408,0.034,0.841,0.405,0.419,0.270,0.925,0.882,0.339
0.184,0.017,0.944,0.663,0.198,0.107,0.957,0.932,0.138
0.172,0.156,0.006,0.001,0.169,0.084,0.829,0.812,0.060
0.459,0.075,0.871,0.598,0.453,0.371,0.782,0.832,0.435
0.580,0.040,0.179,0.082,0.650,0.594,0.844,0.839,0.347
0.727,0.011,0.636,0.691,0.828,0.839,0.851,0.859,0.597
0.029,0.141,0.011,0.001,0.017,0.013,0.803,0.768,0.012
0.029,0.141,0.011,0.001,0.017,0.013,0.803,0.768,0.012
0.922,0.012,0.408,0.451,0.965,0.980,0.886,0.913,0.760
0.673,0.007,0.107,0.124,0.741,0.697,0.757,0.681,0.398
0.819,0.020,0.412,0.622,0.903,0.942,0.802,0.820,0.593
0.895,0.030,0.256,0.969,0.964,0.982,0.817,0.810,0.713
0.632,0.025,0.605,0.448,0.724,0.474,0.741,0.828,0.420
0.632,0.025,0.605,0.448,0.724,0.474,0.741,0.828,0.420
0.005,0.955,0.137,0.082,0.001,0.003,0.221,0.800,0.004
0.383,0.009,0.823,0.475,0.460,0.363,0.964,0.941,0.217
0.921,0.016,0.048,0.175,0.975,0.992,0.905,0.864,0.721
0.887,0.046,0.010,0.005,0.923,0.935,0.661,0.487,0.493
0.366,0.067,0.456,0.365,0.371,0.378,0.787,0.798,0.222
0.063,0.120,0.215,0.148,0.052,0.020,0.659,0.666,0.035
0.063,0.120,0.215,0.148,0.052,0.020,0.659,0.666,0.035
0.475,0.033,0.463,0.426,0.487,0.739,0.869,0.937,0.218
0.081,0.441,0.020,0.027,0.065,0.068,0.252,0.364,0.038
0.046,0.327,0.051,0.052,0.036,0.021,0.358,0.534,0.024
0.459,0.209,0.005,0.001,0.435,0.341,0.322,0.251,0.124
0.394,0.089,0.412,0.834,0.426,0.511,0.597,0.611,0.267
0.032,0.171,0.111,0.112,0.020,0.012,0.383,0.318,0.018
0.032,0.019,0.682,0.477,0.017,0.008,0.825,0.835,0.014
0.898,0.006,0.381,0.817,0.965,0.976,0.807,0.817,0.766
0.652,0.030,0.419,0.319,0.725,0.852,0.880,0.879,0.398
0.652,0.030,0.419,0.319,0.725,0.852,0.880,0.879,0.398
0.707,0.028,0.021,0.003,0.750,0.675,0.907,0.713,0.331
0.722,0.021,0.071,0.018,0.777,0.581,0.888,0.763,0.242
0.496,0.232,0.165,0.529,0.541,0.605,0.524,0.621,0.247
0.333,0.031,0.843,0.615,0.353,0.294,0.880,0.897,0.236
0.102,0.119,0.841,0.672,0.075,0.031,0.756,0.848,0.058
0.827,0.025,0.306,0.865,0.926,0.955,0.794,0.763,0.592
0.020,0.406,0.075,0.039,0.012,0.006,0.378,0.629,0.016
0.340,0.016,0.676,0.768,0.396,0.311,0.806,0.823,0.218
0.033,0.616,0.008,0.000,0.020,0.019,0.439,0.603,0.019
0.010,0.018,0.266,0.161,0.006,0.001,0.802,0.921,0.004
0.808,0.021,0.274,0.845,0.915,0.957,0.738,0.727,0.621
0.110,0.070,0.476,0.771,0.106,0.048,0.398,0.541,0.062
0.812,0.006,0.286,0.645,0.920,0.939,0.809,0.653,0.563
0.359,0.050,0.803,0.699,0.365,0.316,0.789,0.811,0.322
0.056,0.023,0.903,0.736,0.049,0.018,0.925,0.961,0.033
0.696,0.088,0.010,0.002,0.712,0.806,0.616,0.634,0.256
0.757,0.043,0.126,0.173,0.860,0.909,0.761,0.823,0.536
0.964,0.081,0.006,0.003,0.978,0.971,0.642,0.706,0.697
0.872,0.134,0.041,0.032,0.889,0.798,0.609,0.861,0.488
0.021,0.091,0.036,0.030,0.013,0.015,0.669,0.782,0.012
0.693,0.013,0.044,0.115,0.805,0.889,0.690,0.524,0.376
0.965,0.064,0.094,0.050,0.983,0.988,0.793,0.880,0.876
0.798,0.009,0.212,0.901,0.946,0.978,0.725,0.805,0.541
0.893,0.048,0.054,0.036,0.934,0.945,0.826,0.785,0.817
0.113,0.039,0.420,0.147,0.103,0.017,0.817,0.813,0.044
0.422,0.046,0.892,0.726,0.459,0.432,0.871,0.886,0.358
0.630,0.131,0.691,0.330,0.622,0.566,0.726,0.740,0.563
0.747,0.023,0.699,0.666,0.836,0.810,0.849,0.887,0.607
0.583,0.081,0.306,0.065,0.573,0.425,0.841,0.798,0.327
0.583,0.081,0.306,0.065,0.573,0.425,0.841,0.798,0.327
0.583,0.081,0.306,0.065,0.573,0.425,0.841,0.798,0.327
0.075,0.072,0.007,0.012,0.069,0.093,0.772,0.811,0.030
0.330,0.033,0.038,0.083,0.422,0.489,0.751,0.692,0.126
0.629,0.146,0.735,0.806,0.645,0.806,0.687,0.616,0.523
0.438,0.119,0.065,0.023,0.442,0.409,0.737,0.566,0.206
0.024,0.911,0.052,0.003,0.012,0.019,0.598,0.939,0.018
0.915,0.018,0.374,0.282,0.964,0.968,0.895,0.931,0.793
0.376,0.068,0.883,0.709,0.356,0.250,0.737,0.828,0.361
0.500,0.068,0.773,0.602,0.518,0.427,0.792,0.835,0.387
0.522,0.016,0.509,0.135,0.538,0.591,0.946,0.915,0.311
0.080,0.297,0.008,0.005,0.063,0.077,0.351,0.420,0.028
0.019,0.505,0.003,0.000,0.011,0.014,0.456,0.592,0.008
0.009,0.029,0.059,0.019,0.006,0.004,0.891,0.954,0.004
0.255,0.215,0.006,0.005,0.298,0.419,0.762,0.844,0.087
0.004,0.808,0.070,0.054,0.002,0.004,0.319,0.804,0.004
0.850,0.009,0.051,0.146,0.939,0.968,0.803,0.753,0.566
0.486,0.203,0.471,0.671,0.496,0.611,0.608,0.646,0.317
0.488,0.204,0.478,0.666,0.497,0.614,0.612,0.651,0.318
0.033,0.728,0.124,0.013,0.020,0.014,0.570,0.893,0.014
0.937,0.015,0.518,0.234,0.977,0.957,0.903,0.926,0.879
0.810,0.030,0.265,0.192,0.854,0.784,0.700,0.755,0.616
0.697,0.008,0.063,0.012,0.765,0.725,0.939,0.809,0.235
0.963,0.007,0.222,0.814,0.991,0.992,0.723,0.687,0.883
0.015,0.943,0.439,0.179,0.006,0.016,0.802,0.975,0.017
0.015,0.943,0.439,0.179,0.006,0.016,0.802,0.975,0.017
0.503,0.039,0.623,0.351,0.529,0.505,0.883,0.874,0.270
0.669,0.048,0.598,0.477,0.739,0.721,0.746,0.744,0.464
0.790,0.008,0.413,0.851,0.917,0.913,0.794,0.800,0.583
0.068,0.013,0.568,0.517,0.052,0.014,0.828,0.932,0.029
0.577,0.033,0.334,0.266,0.643,0.570,0.862,0.895,0.334
0.010,0.373,0.149,0.156,0.007,0.011,0.733,0.925,0.012
0.851,0.027,0.505,0.717,0.933,0.976,0.833,0.848,0.677
0.577,0.007,0.340,0.984,0.806,0.881,0.860,0.860,0.336
0.889,0.004,0.039,0.795,0.978,0.988,0.864,0.782,0.640
0.718,0.023,0.005,0.004,0.821,0.723,0.732,0.633,0.216
0.678,0.139,0.577,0.747,0.734,0.855,0.665,0.720,0.503
0.676,0.139,0.596,0.730,0.728,0.848,0.662,0.725,0.507
0.105,0.145,0.683,0.575,0.090,0.020,0.529,0.686,0.074
0.892,0.012,0.336,0.295,0.956,0.893,0.775,0.804,0.770
0.892,0.012,0.336,0.295,0.956,0.893,0.775,0.804,0.770
0.746,0.017,0.110,0.436,0.874,0.899,0.798,0.808,0.451
0.761,0.017,0.100,0.404,0.885,0.910,0.803,0.809,0.465
0.041,0.038,0.040,0.014,0.026,0.058,0.736,0.611,0.019
0.807,0.044,0.065,0.114,0.883,0.935,0.666,0.649,0.469
0.591,0.019,0.829,0.795,0.722,0.678,0.871,0.892,0.478
0.489,0.015,0.289,0.260,0.555,0.278,0.707,0.686,0.256
0.934,0.001,0.008,0.428,0.994,0.997,0.964,0.924,0.732
0.441,0.024,0.098,0.765,0.612,0.750,0.687,0.775,0.221
0.398,0.260,0.022,0.018,0.430,0.478,0.640,0.598,0.206
0.398,0.260,0.022,0.018,0.430,0.478,0.640,0.598,0.206
0.869,0.008,0.708,0.614,0.943,0.909,0.861,0.852,0.849
0.008,0.983,0.008,0.000,0.003,0.002,0.091,0.650,0.007
0.824,0.032,0.562,0.767,0.906,0.932,0.811,0.810,0.648
0.235,0.036,0.023,0.045,0.268,0.254,0.888,0.879,0.092
0.030,0.068,0.164,0.564,0.023,0.019,0.447,0.402,0.021
0.883,0.004,0.017,0.012,0.963,0.973,0.889,0.818,0.559
0.970,0.035,0.038,0.036,0.992,0.992,0.872,0.914,0.928
0.900,0.002,0.076,0.098,0.972,0.978,0.963,0.927,0.569
0.070,0.217,0.168,0.075,0.046,0.021,0.580,0.836,0.049
0.378,0.014,0.748,0.892,0.401,0.327,0.751,0.746,0.226
0.054,0.669,0.471,0.421,0.037,0.036,0.671,0.966,0.024
0.240,0.090,0.830,0.923,0.203,0.218,0.625,0.699,0.214
0.585,0.044,0.285,0.086,0.609,0.472,0.884,0.849,0.271
0.780,0.012,0.240,0.961,0.917,0.958,0.827,0.832,0.472
0.952,0.020,0.158,0.444,0.987,0.992,0.794,0.835,0.843
0.053,0.032,0.361,0.184,0.047,0.012,0.897,0.932,0.020
0.082,0.017,0.042,0.002,0.070,0.035,0.940,0.891,0.021
0.010,0.817,0.061,0.041,0.004,0.008,0.338,0.853,0.006
0.769,0.146,0.406,0.281,0.818,0.835,0.702,0.815,0.605
0.033,0.126,0.245,0.636,0.019,0.051,0.695,0.578,0.026
0.544,0.102,0.011,0.003,0.493,0.425,0.510,0.300,0.139
0.198,0.451,0.015,0.004,0.181,0.160,0.523,0.425,0.079
0.198,0.451,0.015,0.004,0.181,0.160,0.523,0.425,0.079
0.198,0.451,0.015,0.004,0.181,0.160,0.523,0.425,0.079
0.095,0.003,0.939,0.569,0.112,0.168,0.971,0.965,0.114
0.084,0.023,0.877,0.729,0.072,0.026,0.905,0.966,0.042
0.252,0.034,0.828,0.686,0.231,0.182,0.772,0.816,0.158
0.045,0.986,0.228,0.254,0.020,0.033,0.221,0.798,0.059
0.207,0.028,0.487,0.631,0.249,0.156,0.768,0.745,0.143
0.040,0.018,0.359,0.767,0.029,0.025,0.622,0.534,0.027
0.958,0.005,0.022,0.010,0.986,0.983,0.933,0.893,0.775
0.355,0.007,0.296,0.883,0.527,0.638,0.840,0.846,0.184
0.967,0.005,0.044,0.132,0.990,0.998,0.949,0.952,0.756
0.520,0.017,0.874,0.811,0.599,0.602,0.904,0.903,0.371
0.230,0.416,0.003,0.000,0.207,0.163,0.555,0.371,0.064
0.076,0.008,0.901,0.779,0.076,0.088,0.953,0.965,0.051
0.746,0.087,0.208,0.112,0.782,0.685,0.752,0.752,0.496
0.135,0.009,0.139,0.677,0.157,0.078,0.699,0.779,0.047
0.931,0.007,0.114,0.084,0.977,0.986,0.912,0.873,0.640
0.931,0.007,0.114,0.084,0.977,0.986,0.912,0.873,0.640
0.931,0.007,0.114,0.084,0.977,0.986,0.912,0.873,0.640
0.099,0.196,0.794,0.291,0.077,0.025,0.844,0.912,0.062
0.008,0.943,0.044,0.006,0.003,0.004,0.314,0.869,0.011
0.083,0.923,0.191,0.032,0.049,0.020,0.372,0.899,0.071
0.261,0.054,0.896,0.781,0.155,0.355,0.865,0.894,0.129
0.380,0.039,0.901,0.806,0.411,0.442,0.868,0.882,0.333
0.024,0.029,0.002,0.000,0.016,0.012,0.854,0.869,0.008
0.044,0.018,0.498,0.318,0.033,0.010,0.783,0.759,0.017
0.954,0.002,0.225,0.114,0.987,0.986,0.955,0.947,0.779
0.220,0.093,0.349,0.055,0.205,0.127,0.902,0.868,0.075
0.259,0.016,0.625,0.402,0.251,0.261,0.825,0.792,0.158
0.013,0.879,0.051,0.012,0.007,0.012,0.609,0.954,0.016
0.382,0.015,0.925,0.964,0.401,0.426,0.775,0.704,0.294
0.075,0.693,0.003,0.000,0.046,0.066,0.435,0.426,0.035
0.088,0.722,0.003,0.000,0.056,0.081,0.408,0.396,0.043
0.180,0.033,0.767,0.720,0.168,0.124,0.748,0.819,0.149
0.486,0.128,0.015,0.004,0.514,0.388,0.776,0.795,0.177
0.355,0.017,0.605,0.685,0.419,0.233,0.752,0.781,0.234
0.790,0.094,0.188,0.107,0.836,0.776,0.769,0.729,0.569
0.087,0.184,0.105,0.071,0.071,0.041,0.592,0.578,0.047
0.087,0.184,0.105,0.071,0.071,0.041,0.592,0.578,0.047
0.852,0.005,0.932,0.882,0.925,0.936,0.915,0.891,0.833
0.057,0.051,0.351,0.695,0.055,0.030,0.725,0.757,0.043
0.256,0.032,0.590,0.714,0.193,0.250,0.688,0.656,0.115
0.130,0.070,0.017,0.006,0.097,0.042,0.708,0.729,0.051
0.553,0.058,0.731,0.465,0.579,0.443,0.848,0.862,0.398
0.821,0.008,0.404,0.224,0.895,0.909,0.929,0.922,0.668
0.859,0.003,0.293,0.361,0.939,0.934,0.960,0.984,0.502
0.077,0.031,0.857,0.700,0.075,0.019,0.904,0.959,0.036
0.957,0.005,0.047,0.926,0.994,0.998,0.848,0.784,0.817
0.022,0.013,0.003,0.000,0.013,0.010,0.862,0.867,0.005
0.014,0.423,0.007,0.000,0.006,0.008,0.772,0.768,0.004
0.869,0.006,0.810,0.780,0.940,0.899,0.844,0.927,0.783
0.919,0.291,0.035,0.197,0.958,0.951,0.715,0.914,0.605
0.405,0.072,0.864,0.649,0.414,0.316,0.797,0.865,0.294
0.006,0.731,0.049,0.048,0.002,0.006,0.348,0.805,0.004
0.865,0.020,0.422,0.386,0.931,0.933,0.867,0.929,0.686
0.597,0.037,0.519,0.479,0.673,0.611,0.842,0.878,0.410
0.804,0.782,0.003,0.001,0.790,0.808,0.302,0.191,0.499
0.577,0.168,0.414,0.738,0.606,0.720,0.621,0.634,0.356
0.426,0.126,0.344,0.125,0.404,0.336,0.789,0.724,0.227
0.206,0.032,0.804,0.781,0.177,0.177,0.800,0.828,0.131
0.848,0.007,0.065,0.035,0.943,0.934,0.920,0.910,0.490
0.430,0.022,0.852,0.750,0.487,0.465,0.842,0.858,0.331
0.836,0.016,0.377,0.240,0.910,0.887,0.873,0.890,0.736
0.679,0.113,0.249,0.101,0.695,0.706,0.757,0.709,0.475
0.679,0.113,0.249,0.101,0.695,0.706,0.757,0.709,0.475
0.679,0.113,0.249,0.101,0.695,0.706,0.757,0.709,0.475
0.018,0.950,0.206,0.143,0.006,0.010,0.202,0.832,0.010
0.749,0.047,0.157,0.473,0.858,0.870,0.669,0.691,0.403
0.907,0.009,0.384,0.250,0.956,0.947,0.864,0.830,0.692
0.303,0.138,0.005,0.002,0.286,0.241,0.417,0.362,0.074
0.971,0.033,0.384,0.824,0.990,0.992,0.698,0.852,0.864
0.928,0.793,0.022,0.067,0.958,0.980,0.509,0.667,0.834
0.154,0.020,0.933,0.853,0.161,0.146,0.941,0.940,0.095
0.970,0.002,0.019,0.608,0.996,0.998,0.874,0.889,0.837
0.081,0.023,0.025,0.015,0.081,0.043,0.804,0.861,0.024
0.824,0.089,0.130,0.163,0.892,0.929,0.727,0.824,0.655
0.304,0.041,0.809,0.559,0.278,0.176,0.821,0.774,0.217
0.328,0.126,0.539,0.716,0.308,0.340,0.652,0.681,0.197
0.822,0.010,0.282,0.944,0.953,0.985,0.717,0.820,0.594
0.212,0.005,0.126,0.858,0.373,0.597,0.833,0.725,0.140
0.963,0.006,0.082,0.980,0.994,0.998,0.823,0.806,0.856
0.593,0.698,0.008,0.002,0.541,0.419,0.363,0.214,0.280
0.042,0.246,0.186,0.145,0.032,0.080,0.792,0.897,0.032
0.507,0.017,0.900,0.983,0.535,0.608,0.678,0.702,0.415
0.029,0.698,0.028,0.022,0.013,0.027,0.506,0.907,0.012
0.981,0.008,0.339,0.470,0.996,0.997,0.796,0.839,0.951
0.437,0.018,0.770,0.456,0.408,0.421,0.881,0.867,0.205
0.907,0.052,0.377,0.987,0.966,0.976,0.603,0.451,0.724
0.065,0.227,0.076,0.155,0.049,0.243,0.873,0.943,0.036
0.147,0.023,0.862,0.953,0.144,0.157,0.759,0.824,0.100
0.955,0.001,0.084,0.885,0.993,0.994,0.868,0.895,0.783
0.099,0.153,0.009,0.000,0.071,0.049,0.857,0.634,0.024
0.774,0.062,0.457,0.405,0.851,0.815,0.773,0.832,0.596
0.891,0.070,0.006,0.002,0.931,0.797,0.738,0.621,0.381
0.358,0.021,0.497,0.920,0.466,0.455,0.740,0.699,0.181
0.121,0.057,0.822,0.865,0.121,0.054,0.778,0.804,0.077
0.236,0.004,0.009,0.001,0.283,0.220,0.976,0.950,0.062
0.959,0.088,0.046,0.036,0.977,0.961,0.697,0.846,0.753
0.959,0.088,0.046,0.036,0.977,0.961,0.697,0.846,0.753
0.974,0.003,0.041,0.985,0.997,0.999,0.894,0.906,0.870
0.914,0.008,0.068,0.937,0.986,0.993,0.864,0.826,0.709
0.012,0.757,0.033,0.005,0.005,0.016,0.529,0.918,0.018
0.012,0.757,0.033,0.005,0.005,0.016,0.529,0.918,0.018
0.087,0.181,0.787,0.759,0.064,0.042,0.829,0.950,0.039
0.430,0.077,0.016,0.003,0.323,0.467,0.567,0.345,0.099
0.200,0.028,0.227,0.246,0.204,0.126,0.865,0.867,0.097
0.008,0.026,0.004,0.001,0.005,0.007,0.883,0.933,0.004
0.603,0.005,0.981,0.999,0.727,0.807,0.804,0.744,0.528
0.704,0.023,0.045,0.008,0.741,0.536,0.867,0.666,0.198
0.929,0.008,0.435,0.620,0.978,0.979,0.855,0.889,0.873
0.006,0.071,0.352,0.062,0.003,0.001,0.791,0.821,0.002
0.281,0.074,0.031,0.037,0.271,0.343,0.586,0.470,0.134
0.262,0.075,0.031,0.035,0.247,0.303,0.584,0.473,0.124
0.080,0.396,0.081,0.136,0.062,0.065,0.336,0.599,0.039
0.022,0.082,0.017,0.004,0.014,0.014,0.813,0.861,0.011
0.295,0.085,0.387,0.092,0.277,0.215,0.901,0.842,0.141
0.533,0.035,0.909,0.666,0.613,0.535,0.908,0.913,0.460
0.554,0.011,0.755,0.798,0.637,0.708,0.860,0.876,0.445
0.868,0.129,0.037,0.008,0.902,0.919,0.825,0.763,0.636
0.051,0.228,0.257,0.035,0.038,0.011,0.751,0.907,0.029
0.024,0.197,0.016,0.003,0.016,0.014,0.828,0.779,0.015
0.399,0.006,0.096,0.433,0.513,0.527,0.871,0.858,0.147
0.410,0.006,0.110,0.448,0.526,0.534,0.877,0.870,0.151
0.066,0.052,0.102,0.056,0.062,0.024,0.828,0.859,0.030
0.919,0.014,0.467,0.469,0.968,0.975,0.905,0.940,0.789
0.914,0.042,0.032,0.016,0.953,0.939,0.586,0.506,0.722
0.822,0.079,0.811,0.648,0.873,0.897,0.762,0.833,0.771
0.822,0.079,0.811,0.648,0.873,0.897,0.762,0.833,0.771
0.822,0.079,0.811,0.648,0.873,0.897,0.762,0.833,0.771
0.219,0.089,0.772,0.887,0.225,0.248,0.715,0.801,0.163
0.755,0.055,0.241,0.054,0.783,0.602,0.851,0.806,0.401
0.478,0.040,0.540,0.292,0.534,0.323,0.840,0.888,0.199
0.990,0.004,0.010,0.020,0.998,0.999,0.862,0.823,0.927
0.488,0.080,0.477,0.545,0.521,0.592,0.698,0.650,0.292
0.200,0.016,0.931,0.968,0.231,0.233,0.880,0.928,0.141
0.025,0.176,0.378,0.731,0.015,0.011,0.455,0.651,0.017
0.974,0.005,0.152,0.697,0.994,0.997,0.733,0.648,0.922
0.589,0.108,0.058,0.013,0.588,0.563,0.755,0.550,0.258
0.098,0.164,0.025,0.126,0.094,0.360,0.821,0.950,0.042
0.793,0.007,0.614,0.429,0.884,0.832,0.927,0.927,0.648
0.911,0.055,0.338,0.600,0.961,0.969,0.727,0.835,0.770
0.985,0.005,0.170,0.573,0.996,0.997,0.854,0.893,0.875
0.879,0.012,0.118,0.090,0.944,0.943,0.880,0.868,0.672
0.496,0.041,0.270,0.185,0.548,0.598,0.713,0.739,0.295
0.153,0.025,0.953,0.954,0.191,0.072,0.919,0.955,0.084
0.283,0.007,0.478,0.881,0.446,0.360,0.934,0.913,0.137
0.312,0.093,0.790,0.538,0.272,0.239,0.834,0.880,0.196
0.934,0.008,0.293,0.910,0.983,0.988,0.753,0.784,0.754
0.005,0.238,0.093,0.021,0.003,0.003,0.762,0.971,0.004
0.792,0.016,0.598,0.894,0.871,0.902,0.765,0.764,0.571
0.924,0.004,0.064,0.575,0.984,0.987,0.813,0.793,0.736
0.210,0.010,0.630,0.538,0.217,0.101,0.868,0.900,0.086
0.292,0.938,0.160,0.241,0.236,0.174,0.274,0.876,0.192
0.183,0.003,0.643,0.949,0.320,0.324,0.889,0.908,0.110
0.695,0.202,0.049,0.018,0.783,0.603,0.945,0.991,0.259
0.695,0.202,0.049,0.018,0.783,0.603,0.945,0.991,0.259
0.779,0.029,0.133,0.160,0.879,0.891,0.829,0.840,0.571
0.885,0.008,0.037,0.192,0.964,0.980,0.817,0.770,0.589
0.154,0.019,0.142,0.061,0.169,0.099,0.922,0.905,0.049
0.274,0.305,0.315,0.401,0.284,0.191,0.590,0.541,0.187
0.200,0.076,0.803,0.298,0.166,0.134,0.940,0.951,0.071
0.900,0.002,0.048,0.973,0.984,0.990,0.822,0.825,0.644
0.903,0.007,0.134,0.246,0.973,0.958,0.893,0.916,0.701
0.850,0.004,0.179,0.077,0.922,0.904,0.956,0.951,0.358
0.956,0.009,0.062,0.035,0.984,0.987,0.954,0.967,0.848
0.011,0.031,0.040,0.014,0.007,0.004,0.872,0.938,0.004
0.351,0.321,0.039,0.013,0.314,0.195,0.375,0.250,0.130
0.024,0.132,0.590,0.129,0.015,0.005,0.851,0.927,0.013
0.025,0.110,0.075,0.056,0.016,0.018,0.640,0.624,0.016
0.213,0.110,0.775,0.521,0.186,0.078,0.773,0.847,0.132
0.773,0.056,0.022,0.076,0.860,0.816,0.584,0.531,0.393
0.764,0.027,0.742,0.300,0.803,0.824,0.855,0.844,0.742
